ID	plabels	alabels	longitude	latitude	PC1	PC2	RotNS	RotEW
10189	Hungary	HU	19.36879244	47.18223946	0.011	-0.0384	0.033863975	0.021184693
11021	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.003	-0.059	0.057530931	0.013423561
11126	Romania	RO	24.98211714	45.8858244	0.0099	-0.0532	0.048391494	0.024218036
12887	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	0.0023	-0.047	0.044533527	0.015200493
13011	Slovakia	SK	19.51674087	48.70847114	-0.057	-0.0215	0.036416444	-0.04883741
13067	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0078	-0.0512	0.051361411	0.006654733
13419	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	0.0058	-0.0605	0.056540316	0.022295352
13557	Albania	AL	20.06694176	41.20105559	-0.0354	-0.0491	0.056971432	-0.020450574
13912	Hungary	HU	19.36879244	47.18223946	0.0161	-0.0368	0.030916737	0.025643817
14129	Ukraine	UA	31.38925884	49.06198305	0.0234	-0.0727	0.063400718	0.042581674
14433	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.012	-0.0506	0.051945599	0.002452505
14986	Romania	RO	24.98211714	45.8858244	-0.0119	-0.0558	0.056915405	0.00398581
15097	Romania	RO	24.98211714	45.8858244	0.0045	-0.0453	0.0422917	0.016844942
15426	Bulgaria	BG	25.2182006	42.81516649	-0.0202	-0.0431	0.047004101	-0.007500967
15496	Hungary	HU	19.36879244	47.18223946	0.0145	-0.0349	0.029532963	0.023581011
16462	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0321	-0.0529	0.059711341	-0.016228856
16527	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0296	-0.0571	0.063056777	-0.012665422
16872	Serbia_and_Montenegro	YG	20.61572308	43.94949264	0.0021	-0.0454	0.043051129	0.014566068
17204	Czech_Republic	CZ	15.37698423	49.73660661	0.0281	-0.0627	0.052491239	0.044334748
17669	Croatia	HR	16.1	45.32	0.0166	-0.068	0.060763213	0.034747546
